id,date,price,area,rooms,half rooms,area_balcony,street,district,type
21143660,2022-07-28,250000,77,3,0,0.0,Margó Tivadar utca 274-276,XVIII,tegla
32462942,2022-07-28,120000,19,1,0,0.0,Koronafürt utca 44/B,XVI,szoba
32294534,2022-07-28,115000,20,1,0,0.0,Koronafürt utca 44b,XVI,szoba
32402474,2022-07-28,50000,20,1,0,0.0,Semmelweis utca 13,V,szoba
32295529,2022-07-28,40000,20,1,0,0.0,Semmelweis utca 11,V,szoba
32402438,2022-07-28,70000,12,1,0,0.0,Semmelweis utca 13,V,szoba
32158401,2022-07-28,400000,82,1,2,12.0,Stefánia út,XIV,tegla
32984968,2022-07-28,220000,67,2,0,5.0,Szondi utca,VI,tegla
32791835,2022-07-28,230000,58,1,2,0.0,Fegyvernek utca,XI,panel
27032393,2022-07-28,220000,66,2,0,10.0,Dózsa György út,VII,tegla
33043951,2022-07-28,160000,28,1,0,16.0,Hungária körút,XIV,tegla
24100798,2022-07-28,140000,30,1,0,0.0,Stollár Béla utca 12/B,V,tegla
32428305,2022-07-28,250000,60,2,0,20.0,Felső Zöldmáli út,II,tegla
26925939,2022-07-28,231420,66,2,0,6.0,Dózsa György út,VII,tegla
33034389,2022-07-28,360000,83,3,0,0.0,Visegrádi utca 3.,XIII,tegla
33008176,2022-07-28,160000,79,2,0,0.0,Bartók Béla út,XI,tegla
33041984,2022-07-28,150000,46,2,0,0.0,Tihany utca,XIV,panel
33041317,2022-07-28,220000,52,2,0,0.0,Margitliget utca,III,panel
30509788,2022-07-28,135000,34,1,0,0.0,Ipoly utca,XIII,tegla
29841602,2022-07-28,125000,30,1,0,0.0,Fogarasi út,XIV,tegla
24994443,2022-07-28,155000,30,1,1,0.0,Országház utca,I,tegla
32985010,2022-07-28,200000,31,1,0,3.0,Apáczai Csere János utca,V,tegla
32331693,2022-07-28,345000,78,2,1,8.0,Baross utca,VIII,tegla
32929825,2022-07-28,3100000,153,3,0,21.0,Vérhalom utca,II,csuszozsalus
