id,date,price,area,rooms,half rooms,area_balcony,street,district,type
32790474,2022-08-02,79.9,80,3,0,6.0,Újlak,II,tegla
30628030,2022-08-02,52.5,42,1,1,9.57,Pápay István utca 5.,IX,tegla
33027593,2022-08-02,89.0,55,2,0,5.0,Németvölgyi út 18,XII,tegla
32609582,2022-08-02,76.03,50,3,0,18.0,Szerenád utca 4,XI,tegla
33002338,2022-08-02,56.9,57,2,0,4.0,Bogdánfy utca 2,XI,tegla
30467275,2022-08-02,189.95,114,4,0,137.24,Rétköz utca,XI,tegla
32903526,2022-08-02,75.09,78,4,0,10.65,Vak Bottyán utca,XIX,tegla
32879321,2022-08-02,42.9,44,2,0,10.0,Szőnyi út,XIV,tegla
32985750,2022-08-02,66.9,71,3,0,6.0,Gyöngyösi utca,XIII,tegla
32912187,2022-08-02,168.98,126,4,0,34.0,Esztergomi út 70,XIII,tegla
32856266,2022-08-02,63.06,49,2,0,0.0,Bulcsú utca 13,XIII,tegla
32924792,2022-08-02,99.9,130,4,0,3.0,Rákóczi út 16,VII,tegla
32921011,2022-08-02,61.9,54,1,0,3.0,Tátra utca,XIII,tegla
31938161,2022-08-02,68.5,56,3,0,11.16,Pünkösdfürdő utca,III,tegla
31941697,2022-08-02,48.7,45,2,0,4.39,Pünkösdfürdő utca,III,tegla
32968501,2022-08-02,48.9,37,1,0,8.0,Fehérvári út 160,XI,tegla
31938007,2022-08-02,54.4,45,2,0,3.65,Pünkösdfürdő utca,III,tegla
31936801,2022-08-02,46.6,43,2,0,6.56,Pünkösdfürdő utca,III,tegla
33001823,2022-08-02,45.8,65,3,0,3.0,Vörösvári út,III,panel
33014810,2022-08-02,42.0,51,1,2,0.0,Zsirai Miklós utca 1,III,panel
33007366,2022-08-02,64.9,55,2,1,4.0,Baranyai tér 5.,XI,tegla
32881470,2022-08-02,49.9,52,2,0,0.0,Allende park,XI,panel
32825075,2022-08-02,87.0,110,3,0,0.0,Baross utca,VIII,tegla
32978988,2022-08-02,49.0,45,1,1,50.0,Megyeri út 196,IV,tegla
33031488,2022-08-02,73.8,84,3,0,6.0,Osztály utca,VIII,panel
33033794,2022-08-02,52.4,71,2,1,4.0,Kassai utca,IV,panel
32924028,2022-08-02,75.0,89,4,0,0.0,József körút,VIII,tegla
33057765,2022-08-02,92.99,49,1,1,4.0,Kárpát utca,XIII,tegla
33051459,2022-08-02,119.9,121,4,0,0.0,Katona József utca 17.,XIII,tegla
33045889,2022-08-02,88.0,88,4,1,0.0,Radnóti Miklós utca 24,XIII,tegla
